VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,ExitKey.keys,ExitKey.rt,Feedbackbox.text
space,3.3987,space,10.5989,1,0,10.9151,0,0,0,5,1,Headphone/t3_2.wav,3,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,3.2535,0,1,1,4,1,Headphone/t3_1.wav,3,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,3.4498,0,2,2,0,1,Headphone/t1_1.wav,1,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,2.1062,0,3,3,2,1,Headphone/t2_1.wav,2,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.8842,0,4,4,3,1,Headphone/t2_2.wav,2,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.5999,0,5,5,1,1,Headphone/t1_2.wav,1,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,space,13.4479,space,3.6604,2,6.3336,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,1,2.4182,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,2,3.9401,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,2,2.3348,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,1,1.6468,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,space,2.867,2,1,6.0408,0,0,0,0,1,2,NEW,NEW,C,,,,,,,,
,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.9692,0,1,1,1,1,2,NEW,NEW,C,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.3431,0,2,2,2,1,2,NEW,NEW,C,,,,,,,,
,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.1559,0,3,3,3,1,2,NEW,NEW,C,,,,,,,,
,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,1.5753,0,4,4,4,1,2,NEW,NEW,C,,,,,,,,
,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,56a91395119265000c6e13b7,2021-06-17_21h30.52.053,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.9196,0,5,5,5,1,2,NEW,NEW,C,,,,,,,,
