VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,ExitKey.keys,ExitKey.rt,Feedbackbox.text
space,4.190635,space,13.973375,3,1,5.655305,0,0,0,4,1,Headphone/t3_1.wav,3,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,1.93094,0,1,1,3,1,Headphone/t2_2.wav,2,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2,1,2.47852,0,2,2,2,1,Headphone/t2_1.wav,2,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.21488,0,3,3,0,1,Headphone/t1_1.wav,1,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,1.348215,0,4,4,1,1,Headphone/t1_2.wav,1,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3,1,1.69814,0,5,5,5,1,Headphone/t3_2.wav,3,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,space,12.376545,space,4.98952,2,5.305465,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,1,1.646135,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,2,3.59242,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,5e81f05139ea6d017220e9c2,2021-06-17_19h37.00.927,Combined_MST,2020.2.10,Win32,60,,,,,2,1.214415,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,,
