Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,2,1,0.3339,0,4,4,3,1,Headphone/t2_2.wav,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.451,0,5,5,0,1,Headphone/t1_1.wav,1,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,space,17.3499,space,5.9785,1,space,8.3227,2,1,11.844,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,1,1,7.4717,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,2,1,2.8038,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,2,1,1.2735,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,,,,1,1,1.264,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,space,5.5214,2,1,6.8666,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,1.546,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,60e2d6fc2c90d8f513b9cf4d,2021-07-16_09h04.59.241,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60f13d2486fc8a2f09833f5b,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.3155,0,2,2,2,1,2,NEW,NEW,,,,,,,,
