RT,Syllable,Position,Occurrence,Subject,Condition
0.468,me,3,1,5592fd82fdf99b59a8fb1e61,1
0.4337,me,3,1,5592fd82fdf99b59a8fb1e61,1
0.4827,me,3,1,5592fd82fdf99b59a8fb1e61,1
0.4091,me,3,1,5592fd82fdf99b59a8fb1e61,1
0.4007,ti,2,1,5592fd82fdf99b59a8fb1e61,1
0.4988,ti,2,1,5592fd82fdf99b59a8fb1e61,1
0.5337,ti,2,1,5592fd82fdf99b59a8fb1e61,1
0.449,ta,1,1,5592fd82fdf99b59a8fb1e61,1
0.8335,ta,1,1,5592fd82fdf99b59a8fb1e61,1
0.4664,pu,2,1,5592fd82fdf99b59a8fb1e61,1
0.6048,pu,2,1,5592fd82fdf99b59a8fb1e61,1
0.5838,pu,2,1,5592fd82fdf99b59a8fb1e61,1
0.6174,ko,3,1,5592fd82fdf99b59a8fb1e61,1
0.4604,ko,3,1,5592fd82fdf99b59a8fb1e61,1
0.6197,ko,3,1,5592fd82fdf99b59a8fb1e61,1
0.5327,ko,3,1,5592fd82fdf99b59a8fb1e61,1
0.472,fe,1,1,5592fd82fdf99b59a8fb1e61,1
0.5675,fe,1,1,5592fd82fdf99b59a8fb1e61,1
0.566,fe,1,1,5592fd82fdf99b59a8fb1e61,1
1.0494,fe,1,1,5592fd82fdf99b59a8fb1e61,1
0.483,ge,2,1,5592fd82fdf99b59a8fb1e61,1
0.477,ge,2,1,5592fd82fdf99b59a8fb1e61,1
0.6056,ge,2,1,5592fd82fdf99b59a8fb1e61,1
0.4183,ge,2,1,5592fd82fdf99b59a8fb1e61,1
0.4156,ru,1,1,5592fd82fdf99b59a8fb1e61,1
0.5719,ru,1,1,5592fd82fdf99b59a8fb1e61,1
0.5374,ru,1,1,5592fd82fdf99b59a8fb1e61,1
0.5388,ru,1,1,5592fd82fdf99b59a8fb1e61,1
0.4677,su,3,1,5592fd82fdf99b59a8fb1e61,1
0.4264,su,3,1,5592fd82fdf99b59a8fb1e61,1
0.4555,su,3,1,5592fd82fdf99b59a8fb1e61,1
0.5069,su,3,1,5592fd82fdf99b59a8fb1e61,1
0.4842,re,1,1,5592fd82fdf99b59a8fb1e61,1
0.5007,re,1,1,5592fd82fdf99b59a8fb1e61,1
0.5383,re,1,1,5592fd82fdf99b59a8fb1e61,1
0.4943,re,1,1,5592fd82fdf99b59a8fb1e61,1
0.6022,ni,3,1,5592fd82fdf99b59a8fb1e61,1
0.6295,ni,3,1,5592fd82fdf99b59a8fb1e61,1
0.5853,ni,3,1,5592fd82fdf99b59a8fb1e61,1
0.4971,ni,3,1,5592fd82fdf99b59a8fb1e61,1
0.4834,fu,2,1,5592fd82fdf99b59a8fb1e61,1
0.6004,fu,2,1,5592fd82fdf99b59a8fb1e61,1
0.6508,fu,2,1,5592fd82fdf99b59a8fb1e61,1
0.5689,fu,2,1,5592fd82fdf99b59a8fb1e61,1
0.4667,pu,2,2,5592fd82fdf99b59a8fb1e61,1
0.6192,pu,2,2,5592fd82fdf99b59a8fb1e61,1
0.7925,pu,2,2,5592fd82fdf99b59a8fb1e61,1
0.5567,pu,2,2,5592fd82fdf99b59a8fb1e61,1
0.4165,ta,1,2,5592fd82fdf99b59a8fb1e61,1
0.4097,ta,1,2,5592fd82fdf99b59a8fb1e61,1
0.4677,ta,1,2,5592fd82fdf99b59a8fb1e61,1
0.5017,me,3,2,5592fd82fdf99b59a8fb1e61,1
0.5151,me,3,2,5592fd82fdf99b59a8fb1e61,1
0.484,me,3,2,5592fd82fdf99b59a8fb1e61,1
0.5186,me,3,2,5592fd82fdf99b59a8fb1e61,1
0.5018,fe,1,2,5592fd82fdf99b59a8fb1e61,1
0.5996,fe,1,2,5592fd82fdf99b59a8fb1e61,1
0.4227,fe,1,2,5592fd82fdf99b59a8fb1e61,1
0.5392,ko,3,2,5592fd82fdf99b59a8fb1e61,1
0.82,ko,3,2,5592fd82fdf99b59a8fb1e61,1
0.4839,ko,3,2,5592fd82fdf99b59a8fb1e61,1
0.5844,ko,3,2,5592fd82fdf99b59a8fb1e61,1
0.5539,ti,2,2,5592fd82fdf99b59a8fb1e61,1
0.5845,ti,2,2,5592fd82fdf99b59a8fb1e61,1
