Subject,Age,Old.Old,Old.New,New.Lure,Old.Lure,New.New,New.Old,Recog,Disc,LDI,Headphone,mstOrder,Exclusion,Word,Partword,Nonword,Fam.Diff,AFC,Pos1,Pos2,Pos3,Diff,Headphone,Syllable,Color,Food,Drink,Pause_hit,Pause_RT,slOrder,Counterbalance,AgeinYrs,Gender,Yrs of Education,Meet eligibility criteria,Left Hearing,Right Hearing,Note
602fa684fc65e0cb663c1970,YA,1.080319341,-1.750686071,0.994457883,-0.994457883,1.750686071,-1.080319341,2.831005412,2.074777224,0.7,6,,,3.5,2.75,1,2.5,0.9375,0.569214286,0.600410256,0.45840625,0.110808036,6,5,Black,Doughnuts,Orange soda,18,0.693833333,,2,23,Female,15,Yes,Normal hearing,Normal hearing,
60e1b6d0e91e5cc07b01ef19,YA,1.281551566,-0.994457883,-0.050153583,0.050153583,0.994457883,-1.281551566,2.276009449,1.231397982,0.38,5,,,2,2,1.25,0.75,0.5625,0.516642857,0.554478788,0.544465714,-0.027822857,6,5,Blue,Pizza,Coca-Cola,18,1.184227778,,2,26,Male,16,Yes,Normal hearing,Normal hearing,
60e38c63e3f61504ecfb3346,YA,2.053748911,-0.994457883,-0.582841507,0.582841507,0.994457883,-2.053748911,3.048206794,1.470907403,0.26,5,,,3.75,3.25,3.25,0.5,0.6875,0.49822,0.475236957,0.470234884,0.027985116,6,5,Green,Eggs,Apple Juice,18,0.842394444,,2,22,Male,15,Yes,Normal hearing,Normal hearing,
60a7bf0ff7febd821afb6520,YA,1.174986792,-0.706302563,0.994457883,-0.994457883,0.706302563,-1.174986792,1.881289355,2.169444675,0.72,6,,,3.75,2.25,1.75,2,0.9375,0.495926667,0.575589189,0.451541463,0.044385203,6,5,black,seafood pasta,Mango juice,18,0.506944444,,2,23,Female,16,Yes,Normal hearing,Normal hearing,
5f0856dbffe90703c92542eb,YA,0.915365088,-3.09023,-0.050153583,0.050153583,3.09023,-0.915365088,4.005595088,0.865211504,0.3,6,2,,3,3,2.75,0.25,0.5,0.559597872,0.519070213,0.544680851,0.014917021,6,5,green,tacos,Orange juice,18,0.540194444,1,2,19,Female,14,Yes,Normal hearing,Normal hearing,
5f40d413c4c518219392e3ab,YA,0.524400513,-0.994457883,0.358458793,-0.358458793,0.994457883,-0.524400513,1.518858396,0.882859306,0.34,6,1,,3.75,2.25,2.5,1.25,0.875,0.639469767,0.741516667,0.68013913,-0.040669363,6,5,Matte Black,Pizza,"Water, the source of life.",18,0.667044444,2,1,21,Male,16,Yes,Normal hearing,Normal hearing,
5f7735ba0b8f6221c5c2995f,YA,0.915365088,-0.841621234,-0.467698799,0.467698799,0.841621234,-0.915365088,1.756986321,0.447666289,0.14,6,1,,3,2.5,2.5,0.5,0.75,0.506635135,0.518965854,0.471720455,0.034914681,6,5,Pink,Sushi,Coffee,18,0.476122222,2,1,23,Female,14,Yes,Loss,Normal hearing,
602d2adcef81ce6b843da09b,YA,1.080319341,-3.09023,0.706302563,-0.706302563,3.09023,-1.080319341,4.170549341,1.786621904,0.62,6,1,,3.25,2.75,3.25,0,0.5625,0.446332432,0.459436585,0.420787805,0.025544628,6,5,red,pizza,orange soda,18,0.652455556,2,1,18,Male,10,No ,Normal hearing,Normal hearing,Previous study participation for both sessions
609d952e0aeb66af769d89cb,YA,1.281551566,-1.40507156,0.358458793,-0.358458793,1.40507156,-1.281551566,2.686623126,1.640010359,0.54,6,1,,3.75,2.75,3.5,0.25,0.8125,0.463126829,0.44522093,0.42265122,0.04047561,6,5,Lilac,Sweet Chilli Sensations,Lemonade,18,0.527188889,2,1,20,Female,13,No,Normal hearing,Normal hearing,Previously participated in a similar SL study
60b8fb929701cb52b39796aa,YA,1.40507156,-1.750686071,-0.358458793,0.358458793,1.750686071,-1.40507156,3.155757632,1.046612767,0.28,6,1,,3,3,2.75,0.25,0.6875,0.437052381,0.447797727,0.42335,0.013702381,6,5,Green,Pizza,Coca Cola,18,0.7268,2,1,18,Male,12,Yes,Normal hearing,Normal hearing,
60de3b24940c209d729e32a5,YA,1.080319341,-0.841621234,0.253347103,-0.253347103,0.841621234,-1.080319341,1.921940574,1.333666444,0.46,6,2,,3,3,3.25,-0.25,0.6875,0.526361364,0.493908511,0.487445652,0.038915711,6,5,Blue,Chicken Burgers,Lemonade,18,0.432166667,1,2,18,Male,13,Yes,Normal hearing,Normal hearing,
60e2d6fc2c90d8f513b9cf4d,YA,0.915365088,-1.750686071,0.706302563,-0.706302563,1.750686071,-0.915365088,2.666051159,1.621667651,0.58,9,2,,4,3.25,3.25,0.75,0.5625,0.523795745,0.476442857,0.465029545,0.058766199,6,5,green,bread,WATER,18,0.853594444,1,2,27,Female,13,Yes,Normal hearing,Normal hearing,
5c5dadc66467ac0001b7fa53,OA,0.643345405,-1.40507156,-0.150969215,0.150969215,1.40507156,-0.643345405,2.048416966,0.49237619,0.18,0,,exc,3.5,4,3.5,0,0.625,0.561862222,0.564405128,0.530121739,0.031740483,0,4,blue,cheese,gin,18,0.603005556,,,71,Female,15,Yes,Significant Loss,Significant Loss,
5ab14bdeb0ca80000197e6b6,OA,0.994457883,-0.582841507,0.050153583,-0.050153583,0.582841507,-0.994457883,1.57729939,1.044611467,0.36,0,,exc,,,,0,,,,,,,,,,,,,,,,,,,,,
5f564265f9d134032e757250,OA,0.841621234,-0.841621234,-0.358458793,0.358458793,0.841621234,-0.841621234,1.683242467,0.48316244,0.16,5,,exc,2.25,2.75,1.75,0.5,0.8125,0.546036842,0.526904255,0.499466667,0.046570175,0,3,blue,egg/salad,tea,18,0.444172222,,,67,Female,12,Yes,Loss,Loss,
60a8bc1ed3a5087a7538ba3d,OA,0.706302563,-0.467698799,0.050153583,-0.050153583,0.467698799,-0.706302563,1.174001362,0.756456146,0.28,6,,exc,3.25,3,3.75,-0.5,0.625,0.555360976,0.517327083,0.45352,0.101840976,6,5,orange,fish,beer,18,0.563116667,,,65,Male,10,Yes,Loss,Loss,
5780d9a1900cc80001d2d1c2,OA,,,,,,,,,,,,exc,2.5,2,2.5,0,0.625,0.458154167,0.484557778,0.481363636,-0.02320947,0,5,Blue,Steak,Beer,18,0.498922222,1,,,,,,,,
5a69d956111b250001e342b3,OA,,,,,,,,,,,,exc,3.5,2.75,3,0.5,0.5625,0.572236842,0.526604167,0.529261905,0.042974937,2,5,blue,cheese,water,18,0.556666667,1,,,,,,,,
5ea02e5c3fb6e6000a30693b,OA,,,,,,,,,,,,exc,3.5,4,3,0.5,0.625,0.564839583,0.5591975,0.4719,0.092939583,0,5,Mauve,Salmon,Teas ,18,0.541966667,1,,,,,,,,
