Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/PAI_LU_WA.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,2.8347,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,3.9336,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,3.0308,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GU_CHAI_PI.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,1,0,3.673,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,1,0,2.4989,0,7,7,7,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,0,1.6699,0,8,8,8,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,2.1347,0,9,9,9,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,1.2517,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_NA_VU.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,0.5344,0,11,11,11,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5da9a1659413e4001505d7f7,2021-07-15_06h45.39.385,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60efcb4c8fc977d835343825,,,,,F,,,,,,,,,,,,,,,2,1,2.0019,0,12,12,12,1,2,NEW,NEW,,,,,,,,
