Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,1.2534,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,4.0963,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,1.3045,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.3691,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.2698,0,7,7,7,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.3972,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,0.5088,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.6513,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,2.9431,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,0.8014,0,12,12,12,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,3.0087,0,13,13,13,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,5.8864,0,14,14,14,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,0.6526,0,15,15,15,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SA_TAI_GI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.7529,0,16,16,16,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.5188,0,17,17,17,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,1.0705,0,18,18,18,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_MO_PU.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,2.8749,0,19,19,19,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,0,5.0308,0,20,20,20,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SA_GI_TAI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,0,0.5971,0,21,21,21,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,0.6533,0,22,22,22,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,0.8701,0,23,23,23,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,0.5185,0,24,24,24,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/MO_DAY_PU.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,3.1101,0,25,25,25,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,1,1.0017,0,26,26,26,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,1,0,1.5218,0,27,27,27,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.6362,0,28,28,28,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,1,0.6091,0,29,29,29,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,606212affa13aada679c17b2,2021-07-12_14h07.36.643,Agingstudy_mst,2020.2.10,Win32,60,60e99bd7bc9be7be49ca9171,60ec84b9ba771f73b69248b6,,,,,C,,,,,,,,,,,,,,,2,0,3.3024,0,30,30,30,1,1,OLD,OLD,,,,,,,,
