Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,,2,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,2,1,6.1091,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,2,1,46.4361,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,2,0,5.1228,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,space,19.6264,2,1,14.8839,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,2,1,17.934,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,2,1,3.2018,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,2,1,5.1006,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,2,1,5.6351,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,2,1,6.1011,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,596c1af50e679d0001faca67,2021-07-19_20h20.16.629,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,2,1,4.9342,0,6,6,6,1,2,NEW,NEW,,,,,,,,
