Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,,2,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,2,1,1.2746,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,2,1,0.3986,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,1,1,0.8529,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HA_SI_JAI.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,space,4.9913,2,1,9.567,0,0,0,0,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,2,1,3.3348,0,1,1,1,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,2,1,1.0515,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,1,0,0.7015,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,2,1,0.7551,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,2,0,0.957,0,5,5,5,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,6090f952525df6a9a07b6921,2021-11-01_08h17.59.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,1,0,1.0004,0,6,6,6,1,2,NEW,SIMILAR,,,,,,,,
