Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueButton.keys,ContinueButton.rt,Condition,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,50,50,50,1,3,ta,SL_Sounds/ta.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,51,51,51,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,52,52,52,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,53,53,53,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,54,54,54,1,1,fu,SL_Sounds/fu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,55,55,55,1,2,ko,SL_Sounds/ko.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4424,0,0,0,0,1
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,56,56,56,1,3,ta,SL_Sounds/ta.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,57,57,57,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,58,58,58,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,59,59,59,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,60,60,60,1,1,fu,SL_Sounds/fu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,61,61,61,1,2,ko,SL_Sounds/ko.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,62,62,62,1,3,ta,SL_Sounds/ta.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,63,63,63,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,64,64,64,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,65,65,65,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,66,66,66,1,1,ge,SL_Sounds/ge.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,67,67,67,1,2,me,SL_Sounds/me.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,68,68,68,1,3,re,SL_Sounds/re.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,69,69,69,1,1,ti,SL_Sounds/ti.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,70,70,70,1,2,su,SL_Sounds/su.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,71,71,71,1,3,fe,SL_Sounds/fe.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,72,72,72,1,1,pu,SL_Sounds/pu.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,73,73,73,1,2,ni,SL_Sounds/ni.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,74,74,74,1,3,ru,SL_Sounds/ru.wav,,,,,,,
,,,,,,,,,,,,,,,,,,60ffcba4730586b1982c5bf5,2021-08-05_22h11.39.251,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,,0,75,75,75,1,1,fu,SL_Sounds/fu.wav,,,,,,,
