Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.6549,0,7,7,7,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.4009,0,8,8,8,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,2.7551,0,9,9,9,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.5086,0,10,10,10,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_NA_VU.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,1,0,1.8836,0,11,11,11,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,0.388,0,12,12,12,1,2,NEW,NEW,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,5.0353,0,13,13,13,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,0.7232,0,14,14,14,1,1,OLD,OLD,,,,,
,,,,,,,,,,,,,,,,TestWords/VU_NA_WAI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,1,5.4235,0,15,15,15,1,2,NEW,SIMILAR,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,6030cf35e7fec0f5c6d201c5,2021-07-14_06h12.49.894,Agingstudy,2020.2.10,Win32,60,,,,,F,,,,,,,,,,,,,,,2,0,1.1031,0,16,16,16,1,1,OLD,OLD,,,,,
