Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,ContinueButton.keys,ContinueButton.rt,ExposureIntroKey.keys,ExposureIntroKey.rt,ExposureLoop.thisRepN,ExposureLoop.thisTrialN,ExposureLoop.thisN,ExposureLoop.thisIndex,ExposureLoop.ran,Position,Sound,SyllableFile,participant,date,expName,psychopyVersion,OS,frameRate,PauseCheckKey.keys,PauseCheckKey.rt,PauseOnOff.thisRepN,PauseOnOff.thisTrialN,PauseOnOff.thisN,PauseOnOff.thisIndex,PauseOnOff.ran
,,,,,,,,,,,,0,33,33,33,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,34,34,34,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,35,35,35,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,36,36,36,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,37,37,37,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,38,38,38,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,39,39,39,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,40,40,40,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,41,41,41,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,42,42,42,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,43,43,43,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,44,44,44,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,45,45,45,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,46,46,46,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,47,47,47,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,48,48,48,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,49,49,49,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,50,50,50,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,51,51,51,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,52,52,52,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,53,53,53,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,54,54,54,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,55,55,55,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,space,1.0456,0,0,0,0,1
,,,,,,,,,,,,0,56,56,56,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,57,57,57,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,58,58,58,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,59,59,59,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,60,60,60,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,61,61,61,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,62,62,62,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,63,63,63,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,64,64,64,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,65,65,65,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,66,66,66,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,67,67,67,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,68,68,68,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,69,69,69,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,70,70,70,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,71,71,71,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,72,72,72,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,73,73,73,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,74,74,74,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,75,75,75,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,76,76,76,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,77,77,77,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,78,78,78,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,79,79,79,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,80,80,80,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,81,81,81,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,82,82,82,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,83,83,83,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,84,84,84,1,1,re,SL_Sounds/re.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,85,85,85,1,2,ge,SL_Sounds/ge.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,86,86,86,1,3,me,SL_Sounds/me.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,87,87,87,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,88,88,88,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,89,89,89,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,90,90,90,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,91,91,91,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,92,92,92,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,93,93,93,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,94,94,94,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,95,95,95,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,96,96,96,1,1,ru,SL_Sounds/ru.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,97,97,97,1,2,pu,SL_Sounds/pu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,98,98,98,1,3,ni,SL_Sounds/ni.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,99,99,99,1,1,fe,SL_Sounds/fe.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,100,100,100,1,2,ti,SL_Sounds/ti.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,101,101,101,1,3,su,SL_Sounds/su.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,102,102,102,1,1,ta,SL_Sounds/ta.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,103,103,103,1,2,fu,SL_Sounds/fu.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
,,,,,,,,,,,,0,104,104,104,1,3,ko,SL_Sounds/ko.wav,,2021-07-02_16h59.38.403,Agingstudy,2020.2.10,Win32,60,,,,,,,
