Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType
space,5.7075,space,10.3606,space,9.0608,space,126.335,2,1,2.7699,0,0,0,3,1,Headphone/t2_2.wav,2,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0,246.4377,0,1,1,5,1,Headphone/t3_2.wav,3,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,4.0358,0,2,2,1,1,Headphone/t1_2.wav,1,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,17.6848,0,3,3,2,1,Headphone/t2_1.wav,2,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,93.353,0,4,4,4,1,Headphone/t3_1.wav,3,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,1.8107,0,5,5,0,1,Headphone/t1_1.wav,1,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,space,133.8438,space,48.4887,1,space,10.6777,2,1,20.478,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,35.654,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,24.9261,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,0,26.1619,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,
