Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType
,,,,,,,,,,,,,,,,,1,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,0,27.8045,0,4,4,4,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,space,20.754,2,1,37.7854,0,0,0,0,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,137.6094,0,1,1,1,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,15.9257,0,2,2,2,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,5.7797,0,3,3,3,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/DAY_PU_MO.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,46.5567,0,4,4,4,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,362.1191,0,5,5,5,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,156.1382,0,6,6,6,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,10.2977,0,7,7,7,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,4.7521,0,8,8,8,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/DAY_MO_PU.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,7.3649,0,9,9,9,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,27.211,0,10,10,10,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,4.2804,0,11,11,11,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,27.1762,0,12,12,12,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,13.8948,0,13,13,13,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,3.4156,0,14,14,14,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,10.3462,0,15,15,15,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/MO_DAY_PU.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,368.4997,0,16,16,16,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,30.7861,0,17,17,17,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/FU_RAI_ZO.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,26.8692,0,18,18,18,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,12.7658,0,19,19,19,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,12.8319,0,20,20,20,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,8.6997,0,21,21,21,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,158.5217,0,22,22,22,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/PU_DAY_MO.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,15.0572,0,23,23,23,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,366.6353,0,24,24,24,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,15.6497,0,25,25,25,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/FU_ZO_RAI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,4.3234,0,26,26,26,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,3.9891,0,27,27,27,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,4.4645,0,28,28,28,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,3.8892,0,29,29,29,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,158.6229,0,30,30,30,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/SA_TAI_GI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,168.776,0,31,31,31,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/PU_MO_DAY.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,244.4199,0,32,32,32,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5d3356323e1190001909339b,2021-07-19_23h38.08.194,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,10.2313,0,33,33,33,1,1,OLD,OLD
