Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran
space,6.7666,space,4.8782,space,7.5701,space,7.9855,3,0,3.6263,0,0,0,1,1,Headphone/t1_2.wav,1,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,3,0,1.5054,0,1,1,3,1,Headphone/t2_2.wav,2,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,1,0,2.0273,0,2,2,4,1,Headphone/t3_1.wav,3,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,2,0,0.4001,0,3,3,0,1,Headphone/t1_1.wav,1,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,3,0,0.7056,0,4,4,2,1,Headphone/t2_1.wav,2,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,1,0,2.6313,0,5,5,5,1,Headphone/t3_2.wav,3,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,space,3.6975,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,0,0,0,0,1
,,,,,,,,2,0,1.4689,0,0,0,0,1,Headphone/t1_1.wav,1,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
,,,,,,,,1,0,2.0804,0,1,1,5,1,Headphone/t3_2.wav,3,5b79b92355860100014774f0,2021-11-01_06h52.28.736,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,
