Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MSTTestOptionKeys.keys,MSTTestOptionKeys.corr,MSTTestOptionKeys.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
space,15133.2896,space,24.9458,space,4.751,space,7.0607,2,1,3.6851,0,0,0,3,1,Headphone/t2_2.wav,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,1.5604,0,1,1,4,1,Headphone/t3_1.wav,3,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.8619,0,2,2,1,1,Headphone/t1_2.wav,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,1,0.8259,0,3,3,2,1,Headphone/t2_1.wav,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,1,0.5613,0,4,4,0,1,Headphone/t1_1.wav,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,1,0.7365,0,5,5,5,1,Headphone/t3_2.wav,3,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,space,18.2041,space,5.7465,1,space,2.172,2,1,5.4292,0,0,0,0,1,Training/FO_YI_LAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,1,3.3687,0,1,1,1,1,Training/FO_YI_LAY.wav,OLD,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,1.3545,0,2,2,2,1,Training/YO_BU_JAY.wav,NEW,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2,60de4818f3b6f831f4892900,2021-07-05_16h41.51.613,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,1,2.9341,0,3,3,3,1,Training/JAY_YO_BU.wav,SIMILAR,,,,,,,,,,,,,,,,,,,,,
