Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.561,0,4,4,4,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/DA_CHU_VAI.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.3083,0,5,5,5,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.802,0,6,6,6,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/BA_KAY_LI.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.0373,0,7,7,7,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/VAI_HO_LA.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,1.4846,0,8,8,8,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,0.2368,0,9,9,9,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.0955,0,10,10,10,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/NO_WA_BAY.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,0.8696,0,11,11,11,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,0,1.6631,0,12,12,12,1,1,OLD,OLD
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,2,1,2.161,0,13,13,13,1,2,NEW,NEW
,,,,,,,,,,,,,,,,TestWords/KAY_LI_BA.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.0962,0,14,14,14,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/FU_RAI_ZO.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.6614,0,15,15,15,1,2,NEW,SIMILAR
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60fda2bd4ef51b5d0e2c0799,2021-08-06_00h24.53.085,Agingstudy,2020.2.10,MacIntel,60,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,1,0,0.6109,0,16,16,16,1,2,NEW,NEW
