Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,RepeatAgainKey.keys,RepeatAgainKey.rt,RepeatAgainLoop.thisRepN,RepeatAgainLoop.thisTrialN,RepeatAgainLoop.thisN,RepeatAgainLoop.thisIndex,RepeatAgainLoop.ran,Headphone_retest.thisRepN,Headphone_retest.thisTrialN,Headphone_retest.thisN,Headphone_retest.thisIndex,Headphone_retest.ran
space,37.387,space,10.2839,space,23.7665,space,240.8689,3,0,5.0511,0,0,0,3,1,Headphone/t2_2.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,1,5.4945,0,1,1,4,1,Headphone/t3_1.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,6.7716,0,2,2,0,1,Headphone/t1_1.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,2.8054,0,3,3,1,1,Headphone/t1_2.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,1.3346,0,4,4,5,1,Headphone/t3_2.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,0.6202,0,5,5,2,1,Headphone/t2_1.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,space,5.8417,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,0,0,0,0,1
,,,,,,,,2,0,1.6591,0,0,0,0,1,Headphone/t1_1.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,1.3196,0,1,1,5,1,Headphone/t3_2.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,1.8389,0,2,2,4,1,Headphone/t3_1.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,0.5292,0,3,3,1,1,Headphone/t1_2.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,1.6515,0,4,4,2,1,Headphone/t2_1.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,1,0,2.5099,0,5,5,3,1,Headphone/t2_2.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,space,84.8869,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,1,0,1,0,1
,,,,,,,,1,1,2.9347,0,0,0,1,1,Headphone/t1_2.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,0.8862,0,1,1,4,1,Headphone/t3_1.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,0.747,0,2,2,5,1,Headphone/t3_2.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,0.7565,0,3,3,3,1,Headphone/t2_2.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,0.6046,0,4,4,2,1,Headphone/t2_1.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,0.6707,0,5,5,0,1,Headphone/t1_1.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,space,209.3372,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,2,0,2,0,1
,,,,,,,,3,0,1.5336,0,0,0,3,1,Headphone/t2_2.wav,2,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,3,0,1.9728,0,1,1,1,1,Headphone/t1_2.wav,1,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
,,,,,,,,2,0,1.1849,0,2,2,4,1,Headphone/t3_1.wav,3,60b25fad5ef68266fae1fb73,2021-08-05_21h17.23.572,Agingstudy,2020.2.10,Win32,60,,,,,,,,,,,,
