VolumeContinueKey.keys,VolumeContinueKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueResp.keys,ContinueResp.rt,WelcomeContinueKey2.keys,WelcomeContinueKey2.rt,Practice_resp.keys,Practice_resp.rt,PracticeTrials.thisRepN,PracticeTrials.thisTrialN,PracticeTrials.thisN,PracticeTrials.thisIndex,PracticeTrials.ran,SoundFile,Type,StartTast.keys,StartTast.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordCorrect,Correct_type,WordType,Condition,WordTask.thisRepN,WordTask.thisTrialN,WordTask.thisN,WordTask.thisIndex,WordTask.ran,ExitKey.keys,ExitKey.rt,Feedbackbox.text
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,0,2.3115,0,73,73,73,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/RAI_ZO_FU.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.7624,0,74,74,74,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,2.3019,0,75,75,75,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.3353,0,76,76,76,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/TAI_GI_SA.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.4674,0,77,77,77,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.2936,0,78,78,78,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/PU_DAY_MO.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,0,0.6881,0,79,79,79,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.7401,0,80,80,80,1,1,OLD,OLD,F,,,,,,,,
,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,2,1,0.5407,0,81,81,81,1,2,NEW,SIMILAR,F,,,,,,,,
,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,5bb8b36656161d0001002ee4,2021-06-17_20h31.51.499,Combined_MST,2020.2.10,Win32,60,,,,,,,,,,,,,,,,1,1,0.1689,0,82,82,82,1,1,OLD,OLD,F,,,,,,,,
