Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MST_resp.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.3979,0,2,2,2,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.4187,0,3,3,3,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/HO_NAY_VA.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.3588,0,4,4,4,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.3783,0,5,5,5,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.356,0,6,6,6,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.3977,0,7,7,7,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/LU_HAI_BO.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.9984,0,8,8,8,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,0,1.7827,0,9,9,9,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,0.706,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/CHU_LA_PAY.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,1,2.4453,0,11,11,11,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KAI_LAY_TA.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,2,0,0.6571,0,12,12,12,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,60e1b6d0e91e5cc07b01ef19,2021-07-11_13h16.52.076,Agingstudy_mst,2020.2.10,Win32,60,60e8550594adb1982c6cb1b5,60eb274f0469122ba986d2a8,,,,,C,,,,,,,,,,,,,,,1,0,2.773,0,13,13,13,1,2,NEW,SIMILAR,,,,,,,,
