Welcome0Continue.keys,Welcome0Continue.rt,SoundCheckBegin.keys,SoundCheckBegin.rt,SoundCheckEndKey.keys,SoundCheckEndKey.rt,HeadphoneContinueKey.keys,HeadphoneContinueKey.rt,CheckResp.keys,CheckResp.corr,CheckResp.rt,HeadphoneLoop.thisRepN,HeadphoneLoop.thisTrialN,HeadphoneLoop.thisN,HeadphoneLoop.thisIndex,HeadphoneLoop.ran,File,Correct,participant,date,expName,psychopyVersion,OS,frameRate,ContinueKey8.keys,ContinueKey8.rt,MSTWelcomeContKey.keys,MSTWelcomeContKey.rt,Condition,MSTTrainIntroKey.keys,MSTTrainIntroKey.rt,MSTTrainKeys.keys,MSTTrainKeys.corr,MSTTrainKeys.rt,MSTTrainLoop.thisRepN,MSTTrainLoop.thisTrialN,MSTTrainLoop.thisN,MSTTrainLoop.thisIndex,MSTTrainLoop.ran,SoundFile,Type,MSTTestBeginKey.keys,MSTTestBeginKey.rt,MST_resp.keys,MST_resp.corr,MSTTestOptionKeys.rt,MSTPlayLoop.thisRepN,MSTPlayLoop.thisTrialN,MSTPlayLoop.thisN,MSTPlayLoop.thisIndex,MSTPlayLoop.ran,WordCorrect,Correct_type,WordType,MSTLoop.thisRepN,MSTLoop.thisTrialN,MSTLoop.thisN,MSTLoop.thisIndex,MSTLoop.ran,EndAllKey.keys,EndAllKey.rt,FeedbackResp.text
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,1.0253,0,8,8,8,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAY_MO_PU.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,0.8579,0,9,9,9,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/TAI_SA_GI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.9974,0,10,10,10,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,0.873,0,11,11,11,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.5486,0,12,12,12,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/ZO_RAI_FU.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,3.2084,0,13,13,13,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,1.3682,0,14,14,14,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FI_GU_CHA.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.6982,0,15,15,15,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/MO_DAY_PU.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.5175,0,16,16,16,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_SA_TAI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.4434,0,17,17,17,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FU_RAI_ZO.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,0.5739,0,18,18,18,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,0.4758,0,19,19,19,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,4.3892,0,20,20,20,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,1.1378,0,21,21,21,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,0.6863,0,22,22,22,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/PU_DAY_MO.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,1.0515,0,23,23,23,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GI_TAI_SA.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,0.4885,0,24,24,24,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,1.1581,0,25,25,25,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/FU_ZO_RAI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,3.6705,0,26,26,26,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/DAI_RU_CHI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,0.558,0,27,27,27,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/RAY_PA_TI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,0.2309,0,28,28,28,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/GA_MU_ZI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,1,2.5652,0,29,29,29,1,1,OLD,OLD,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/WAI_VU_NA.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,6.6826,0,30,30,30,1,2,NEW,NEW,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/SA_TAI_GI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,1,1.159,0,31,31,31,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/PU_MO_DAY.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,1,0,0.641,0,32,32,32,1,2,NEW,SIMILAR,,,,,,,,
,,,,,,,,,,,,,,,,TestWords/KO_SU_FAI.wav,,60e50ea6f016dae07c36df6c,2021-07-07_13h31.07.762,Agingstudy,2020.2.10,Win32,60,,,,,B,,,,,,,,,,,,,,,2,0,0.6463,0,33,33,33,1,1,OLD,OLD,,,,,,,,
